Date,Country,Confirmed
16 May 2020,Belgium,54989
17 May 2020,Belgium,55280
18 May 2020,Belgium,55559
19 May 2020,Belgium,55791
20 May 2020,Belgium,55983
21 May 2020,Belgium,56235
22 May 2020,Belgium,56511
23 May 2020,Belgium,56810
24 May 2020,Belgium,57092
25 May 2020,Belgium,57342
26 May 2020,Belgium,57455
07 May 2020,Benin,140
08 May 2020,Benin,242
09 May 2020,Benin,284
10 May 2020,Benin,319
11 May 2020,Benin,319
12 May 2020,Benin,327
13 May 2020,Benin,327
14 May 2020,Benin,339
15 May 2020,Benin,339
16 May 2020,Benin,339
17 May 2020,Benin,339
18 May 2020,Benin,339
19 May 2020,Benin,130
20 May 2020,Benin,130
21 May 2020,Benin,135
22 May 2020,Benin,135
23 May 2020,Benin,135
24 May 2020,Benin,191
25 May 2020,Benin,191
26 May 2020,Benin,208
31 March 2020,Bolivia,107
01 April 2020,Bolivia,115
04 April 2020,Bolivia,139
06 April 2020,Bolivia,183
11 April 2020,Bolivia,275
15 April 2020,Bolivia,397
19 April 2020,Bolivia,520
23 April 2020,Bolivia,703
27 April 2020,Bolivia,1014
30 April 2020,Bolivia,1167
01 May 2020,Bolivia,1229
02 May 2020,Bolivia,1470
03 May 2020,Bolivia,1594
04 May 2020,Bolivia,1681
05 May 2020,Bolivia,1802
06 May 2020,Bolivia,1886
07 May 2020,Bolivia,2081
08 May 2020,Bolivia,2266
09 May 2020,Bolivia,2437
10 May 2020,Bolivia,2556
11 May 2020,Bolivia,2831
12 May 2020,Bolivia,2964
13 May 2020,Bolivia,3148
14 May 2020,Bolivia,3372
15 May 2020,Bolivia,3577
16 May 2020,Bolivia,3826
17 May 2020,Bolivia,4088
18 May 2020,Bolivia,4263
19 May 2020,Bolivia,4481
20 May 2020,Bolivia,4919
21 May 2020,Bolivia,5187
22 May 2020,Bolivia,5579
23 May 2020,Bolivia,5915
24 May 2020,Bolivia,6263
25 May 2020,Bolivia,6660
26 May 2020,Bolivia,7136
24 March 2020,Bosnia and Herzegovina,166
28 March 2020,Bosnia and Herzegovina,258
31 March 2020,Bosnia and Herzegovina,420
01 April 2020,Bosnia and Herzegovina,459
04 April 2020,Bosnia and Herzegovina,624
06 April 2020,Bosnia and Herzegovina,674
11 April 2020,Bosnia and Herzegovina,946
15 April 2020,Bosnia and Herzegovina,1110
19 April 2020,Bosnia and Herzegovina,1285
23 April 2020,Bosnia and Herzegovina,1413
27 April 2020,Bosnia and Herzegovina,1565
30 April 2020,Bosnia and Herzegovina,1757
01 May 2020,Bosnia and Herzegovina,1781
02 May 2020,Bosnia and Herzegovina,1839
03 May 2020,Bosnia and Herzegovina,1857
04 May 2020,Bosnia and Herzegovina,1926
05 May 2020,Bosnia and Herzegovina,1946
06 May 2020,Bosnia and Herzegovina,1987
07 May 2020,Bosnia and Herzegovina,2027
08 May 2020,Bosnia and Herzegovina,2070
09 May 2020,Bosnia and Herzegovina,2090
10 May 2020,Bosnia and Herzegovina,2117
11 May 2020,Bosnia and Herzegovina,2141
12 May 2020,Bosnia and Herzegovina,2158
13 May 2020,Bosnia and Herzegovina,2181
14 May 2020,Bosnia and Herzegovina,2218
15 May 2020,Bosnia and Herzegovina,2236
16 May 2020,Bosnia and Herzegovina,2267
17 May 2020,Bosnia and Herzegovina,2290
18 May 2020,Bosnia and Herzegovina,2304
19 May 2020,Bosnia and Herzegovina,2321
20 May 2020,Bosnia and Herzegovina,2338
21 May 2020,Bosnia and Herzegovina,2350
22 May 2020,Bosnia and Herzegovina,2372
23 May 2020,Bosnia and Herzegovina,2391
24 May 2020,Bosnia and Herzegovina,2401
25 May 2020,Bosnia and Herzegovina,2406
26 May 2020,Bosnia and Herzegovina,2416
14 March 2020,Brazil,151
20 March 2020,Brazil,793
24 March 2020,Brazil,2247
28 March 2020,Brazil,3904
31 March 2020,Brazil,5717
01 April 2020,Brazil,6836
04 April 2020,Brazil,10360
06 April 2020,Brazil,12161
11 April 2020,Brazil,20727
15 April 2020,Brazil,28320
19 April 2020,Brazil,38654
23 April 2020,Brazil,50036
27 April 2020,Brazil,67446
30 April 2020,Brazil,87187
01 May 2020,Brazil,92202
02 May 2020,Brazil,97100
03 May 2020,Brazil,101826
04 May 2020,Brazil,108620
05 May 2020,Brazil,115455
06 May 2020,Brazil,126611
07 May 2020,Brazil,135773
08 May 2020,Brazil,146894
09 May 2020,Brazil,156061
10 May 2020,Brazil,162699
11 May 2020,Brazil,169594
12 May 2020,Brazil,178214
13 May 2020,Brazil,190137
14 May 2020,Brazil,203165
15 May 2020,Brazil,220291
16 May 2020,Brazil,233511
17 May 2020,Brazil,241080
18 May 2020,Brazil,255368
19 May 2020,Brazil,271885
20 May 2020,Brazil,291579
21 May 2020,Brazil,310087
22 May 2020,Brazil,330890
23 May 2020,Brazil,347398
24 May 2020,Brazil,363211
25 May 2020,Brazil,374898
26 May 2020,Brazil,391222
24 March 2020,Brunei,104
28 March 2020,Brunei,120
31 March 2020,Brunei,129
01 April 2020,Brunei,131
04 April 2020,Brunei,135
06 April 2020,Brunei,135
11 April 2020,Brunei,136
15 April 2020,Brunei,136
19 April 2020,Brunei,138
23 April 2020,Brunei,138
27 April 2020,Brunei,138
30 April 2020,Brunei,138
